id,name,yearsagobin,yearsago,yearextinct,yearextinctera,class,order,family,location,wikipedia,iucn-redlist,img,imgclass
Zalophus japonicus,Japanese Sea Lion,0,45,1974,1974 CE,Mammalia,Carnivora,Otariidae,Sea of Japan,https://en.wikipedia.org/wiki/Japanese_sea_lion,https://www.iucnredlist.org/species/41667/113089431,https://upload.wikimedia.org/wikipedia/commons/8/84/Zalophus_japonicus.JPG,wide
Panthera tigris tigris,Caspian Tiger,0,49,1970,1970 CE,Mammalia,Carnivora,Felidae,Central Asia,https://en.wikipedia.org/wiki/Caspian_tiger,https://www.iucnredlist.org/species/41505/10480967,https://upload.wikimedia.org/wikipedia/commons/8/84/Panthera_tigris_virgata.jpg,wide
Pteropus tokudae,Guam flying fox,0,51,1968,1968 CE,Mammalia,Chiroptera,Pteropodidae,Guam,https://en.wikipedia.org/wiki/Guam_flying_fox,,,
Struthio camelus syriacus,Arabian Ostrich,0,53,1966,1966 CE,Aves,Struthioniformes,Struthionidae,Arabian Peninsula,https://en.wikipedia.org/wiki/Arabian_ostrich,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Syrischer_Maler_um_1335_001.jpg/640px-Syrischer_Maler_um_1335_001.jpg,wide
Epioblasma turgidula,Turgid Blossom Pearly Mussel,0,54,1965,1965 CE,Bivalvia,Unionida,Unionidae,Ozark Mountains,https://en.wikipedia.org/wiki/Epioblasma_turgidula,https://www.iucnredlist.org/species/7890/12862264,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Naturalis_Biodiversity_Center_-_ZMA.MOLL.210667_-_Epioblasma_turgidula_%28Lea%2C_1858%29_-_Unionidae_-_Mollusc_shell.jpeg/320px-Naturalis_Biodiversity_Center_-_ZMA.MOLL.210667_-_Epioblasma_turgidula_%28Lea%2C_1858%29_-_Unionidae_-_Mollusc_shell.jpeg,wide
Plethodon ainsworthi,Ainsworth's salamander,0,55,1964,1964 CE,Amphibia,Urodela,Plethodontidae,United States,https://en.wikipedia.org/wiki/Ainsworth%27s_salamander,,,
Procyon lotor gloveralleni,Barbados raccoon ,0,55,1964,1964 CE,Mammalia,Carnivora,Procyonidae,Barbados,https://en.wikipedia.org/wiki/Barbados_raccoon,,,
Ursus arctos,Mexican Grizzly Bear,0,55,1964,1964 CE,Mammalia,Carnivora,Ursidae,Mexico,https://en.wikipedia.org/wiki/Mexican_grizzly_bear,,https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Mexican_grizzly_bear.jpeg/320px-Mexican_grizzly_bear.jpeg,wide
Cryptonanus ignitus,Red-bellied Gracile Opossum,0,57,1962,1962 CE,Mammalia,Didelphimorphia,Didelphidae,Argentina,https://en.wikipedia.org/wiki/Red-bellied_gracile_opossum,https://www.iucnredlist.org/species/41320/22177809,https://static.inaturalist.org/photos/22492088/medium.jpg?1533263340,wide
Juscelinomys candango,Candango mouse,0,59,1960,1960 CE,Mammalia,Rodentia,Cricetidae,"Brazil, Central",https://en.wikipedia.org/wiki/Candango_mouse,,,
Peromyscus polionotus decoloratus,Pallid beach mouse ,0,60,1959,1959 CE,Mammalia,Rodentia,Cricetidae,Florida,https://en.wikipedia.org/wiki/Pallid_beach_mouse,,,
Noturus trautmani,Scioto Madtom,0,62,1957,1957 CE,Actinopterygii,Siluriformes,Ictaluridae,Ohio,https://en.wikipedia.org/wiki/Scioto_madtom,https://www.iucnredlist.org/species/14908/19032932,https://www.floridamuseum.ufl.edu/wp-content/uploads/sites/59/2017/07/31-N_trautmani.jpg,wide
Onychogalea lunata,Crescent Nailtail Wallaby,0,63,1956,1956 CE,Mammalia,Diprotodontia,Macropodidae,Australia,https://en.wikipedia.org/wiki/Crescent_nail-tail_wallaby,https://www.iucnredlist.org/species/15331/21957917,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Macropus_lunata_Gould_Mamm_Aust_vol_2_plate_55.jpg/320px-Macropus_lunata_Gould_Mamm_Aust_vol_2_plate_55.jpg,wide
Pseudomys glaucus,Blue-gray mouse,0,63,1956,1956 CE,Mammalia,Rodentia,Muridae,"Australia, Queensland and New South Wales",https://en.wikipedia.org/wiki/Blue-gray_mouse,,,
Geocapromys thoracatus,Little Swan Island hutia,0,64,1955,1955 CE,Mammalia,Rodentia,Capromyidae,Swan Islands,https://en.wikipedia.org/wiki/Little_Swan_Island_hutia,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Geocapromys_thoracatus_%28Harvard_University%29.JPG/180px-Geocapromys_thoracatus_%28Harvard_University%29.JPG,wide
Geomys pinetis goffi,Goff's pocket gopher ,0,64,1955,1955 CE,Mammalia,Rodentia,Geomyidae,Florida,https://en.wikipedia.org/wiki/Goff%27s_pocket_gopher,,,
Canis lupus bernardi,Banks Island wolf ,0,67,1952,1952 CE,Mammalia,Carnivora,Canidae,Canada,https://en.wikipedia.org/wiki/Bernard%27s_wolf,,http://www.cosmosmith.com/images/canis_lupus_bernardi.jpg,wide
Neomonachus tropicalis,Caribbean monk seal,0,67,1952,1952 CE,Mammalia,Carnivora,Phocidae,Caribbean,https://en.wikipedia.org/wiki/Caribbean_monk_seal,https://www.iucnredlist.org/species/13655/45228171,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Cms-newyorkzoologicalsociety1910.jpg/320px-Cms-newyorkzoologicalsociety1910.jpg,wide
Gazella bilkis,Yemen gazelle,0,68,1951,1951 CE,Mammalia,Artiodactyla,Bovidae,Yemen,https://en.wikipedia.org/wiki/Queen_of_Sheba%27s_gazelle,,,
Chaeropus ecaudatus,Pig-footed bandicoot,0,69,1950,1950 CE,Mammalia,Peramelemorphia,Chaeropodidae,Australia,https://en.wikipedia.org/wiki/Pig-footed_bandicoot,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/PigFootedBandicoot.jpg/360px-PigFootedBandicoot.jpg,wide
Neotoma martinensis,San Martín Island woodrat,0,69,1950,1950 CE,Mammalia,Rodentia,Cricetidae,"San Martín Island, Baja California",https://en.wikipedia.org/wiki/San_Mart%C3%ADn_Island_woodrat,,,
Perameles eremiana,Desert bandicoot,0,76,1943,1943 CE,Mammalia,Peramelemorphia,Peramelidae,Australia,https://en.wikipedia.org/wiki/Desert_bandicoot,,,
Canis lupus monstrabilis,Texas wolf,0,77,1942,1942 CE,Mammalia,Carnivora,Canidae,North America,https://en.wikipedia.org/wiki/Texas_wolf,,https://upload.wikimedia.org/wikipedia/commons/8/8f/Dogs%2C_jackals%2C_wolves%2C_and_foxes_%28Plate_III%29_C._l._monstrabilis_mod.jpg,wide
Panthera leo leo,Barbary lion,0,77,1942,1942 CE,Mammalia,Carnivora,Felidae,North Africa,https://en.wikipedia.org/wiki/Barbary_lion,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Barbary_lion.jpg/320px-Barbary_lion.jpg,wide
Canis lupus fuscus,Cascade mountain wolf,0,79,1940,1940 CE,Mammalia,Carnivora,Canidae,North America,https://en.wikipedia.org/wiki/Cascade_mountain_wolf,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Dogs%2C_jackals%2C_wolves%2C_and_foxes_%28Plate_IV%29_C._l._fuscus_mod.jpg,wide
Turdus ravidus,Grand Cayman thrush,0,79,1940,1940 CE,Aves,Passeriformes,Turdidae,Grand Cayman Island,https://en.wikipedia.org/wiki/Grand_Cayman_thrush,,,
Macropus greyi,Toolache wallaby,0,80,1939,1939 CE,Mammalia,Diprotodontia,Macropodidae,Australia,https://en.wikipedia.org/wiki/Toolache_wallaby,https://www.iucnredlist.org/species/12625/128952836,https://upload.wikimedia.org/wikipedia/commons/e/e7/Macropus_greyi_-_Gould.jpg,wide
Panthera tigris sondaica,Bali tiger,0,82,1937,1937 CE,Mammalia,Carnivora,Felidae,Bali,https://en.wikipedia.org/wiki/Bali_tiger,,https://upload.wikimedia.org/wikipedia/commons/5/58/Bali_tiger_zanveld.jpg,wide
Thylacinus cynocephalus,Thylacine,0,83,1936,1936 CE,Mammalia,Dasyuromorphia,Thylacinidae,Australia,https://en.wikipedia.org/wiki/Thylacine,https://www.iucnredlist.org/species/21866/21949291,https://upload.wikimedia.org/wikipedia/commons/d/d5/Thylacinus.jpg,wide
Caloprymnus campestris,Desert rat-kangaroo,0,84,1935,1935 CE,Mammalia,Diprotodontia,Potoroidae,Australia,https://en.wikipedia.org/wiki/Desert_rat-kangaroo,https://www.iucnredlist.org/species/3626/21961545,https://upload.wikimedia.org/wikipedia/commons/9/98/Caloprymnus.jpg,wide
